file,id,field,old,new,reason,date
reference_records.csv,v5-2F | 1 | c_rate,status / quote_or_reason,stated | Galvanostatic tests were performed using a Neware BTS4000-5V10mA Battery Testing System with a lithium foil disc as a counter electrode in the potential range of 2.7–4.3 V at room temperature at different current rates from 0.1C to 5C (1C = 200 mA/g).,stated | Table 3. Discharge capacity and capacity retention for the MW and CP NMC811 samples ... 0.1C 0.2C 0.5C 1C 2C 5C,status kept; quote moved from the methods to the value's own table (column 5C),2026-09-17
reference_records.csv,v5-2F | 2 | c_rate,status / quote_or_reason,stated | Galvanostatic tests were performed using a Neware BTS4000-5V10mA Battery Testing System with a lithium foil disc as a counter electrode in the potential range of 2.7–4.3 V at room temperature at different current rates from 0.1C to 5C (1C = 200 mA/g).,stated | Table 3. Discharge capacity and capacity retention for the MW and CP NMC811 samples ... 0.1C 0.2C 0.5C 1C 2C 5C,status kept; quote moved from the methods to the value's own table (column 5C),2026-09-17
reference_records.csv,v5-3F | 1 | cycle,status / quote_or_reason,stated | (a) First derivative of (b) the EPR signal intensity of NMC811 (broad signal); (c) dQ/dV and (d) the voltage change of the NMC811 cathode during charge (blue) and the discharge (orange) process in LP57 without VC additive at a C rate of 1/15C from 2.7 to 4.5 V during its first cycle.,stated_elsewhere | (a) First derivative of (b) the EPR signal intensity of NMC811 (broad signal); (c) dQ/dV and (d) the voltage change of the NMC811 cathode during charge (blue) and the discharge (orange) process in LP57 without VC additive at a C rate of 1/15C from 2.7 to 4.5 V during its first cycle.,"value's own sentence cites Figure S2; the quote is Figure 2's caption, another passage",2026-09-17
reference_records.csv,v5-3F | 1 | voltage_window,status / quote_or_reason,stated | (a) First derivative of (b) the EPR signal intensity of NMC811 (broad signal); (c) dQ/dV and (d) the voltage change of the NMC811 cathode during charge (blue) and the discharge (orange) process in LP57 without VC additive at a C rate of 1/15C from 2.7 to 4.5 V during its first cycle.,stated_elsewhere | (a) First derivative of (b) the EPR signal intensity of NMC811 (broad signal); (c) dQ/dV and (d) the voltage change of the NMC811 cathode during charge (blue) and the discharge (orange) process in LP57 without VC additive at a C rate of 1/15C from 2.7 to 4.5 V during its first cycle.,"value's own sentence cites Figure S2; the quote is Figure 2's caption, another passage",2026-09-17
reference_records.csv,v6-B1-09 | 1 | cell_type,status / quote_or_reason,stated | See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License FIGURE 5 Full cell performance.,stated | The specific discharge capacities of NCM811|P15 Z30 PEDF|Li are 162.6 mAh g− 1,2026-09-17 release audit: quote extended to the full value clause; the cell notation NCM811|P15 Z30 PEDF|Li in the value's own sentence names the Li negative electrode,2026-09-17
reference_records.csv,v6-B1-01 | 1 | cell_type,status / quote_or_reason,stated | See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License FIGURE 5 Full cell performance.,stated | the NCM811|P15 Z30 PEDF|Li shows an initial specific discharge capacity of 185.6 mAh g− 1 at 0.5 C,2026-09-17 release audit: quote extended to the full value clause; the cell notation in the value's own sentence names the Li negative electrode,2026-09-17
reference_records.csv,v6-B3-10 | 1 | voltage_window,status / quote_or_reason,stated | rate capability ... within 3.0–4.6 V,stated_elsewhere | rate capability ... within 3.0–4.6 V,"the window comes from an earlier sentence covering the rate test, not the value's own sentence",2026-09-17
reference_records.csv,v6-B3-10 | 2 | voltage_window,status / quote_or_reason,stated | rate capability ... within 3.0–4.6 V,stated_elsewhere | rate capability ... within 3.0–4.6 V,"the window comes from an earlier sentence covering the rate test, not the value's own sentence",2026-09-17
reference_records.csv,v6-B4-01 | 1 | cell_type,status / quote_or_reason,stated | The rough loading of graphite anode materials and NCM811 cathode was around 2.7 and 4.6 mg cm−2 for a full cell,stated_elsewhere | We assembled full cells with graphite anode,the full-cell anode comes from the preceding sentence; quote moved there from the methods,2026-09-17
reference_records.csv,v6-B4-06 | 1 | electrolyte,status / quote_or_reason,stated | Performance of 4.6 V NCM811 and LiCoO2 cathode The compatibility of 1 M LiBF4 + 1 M LiDFOB tFEP/FEC electrolyte with high-voltage cathodes was evaluated using aggressive 4.6 V NCM811 and LiCoO2 cathode (Fig.,stated_elsewhere | Performance of 4.6 V NCM811 and LiCoO2 cathode The compatibility of 1 M LiBF4 + 1 M LiDFOB tFEP/FEC electrolyte with high-voltage cathodes was evaluated using aggressive 4.6 V NCM811 and LiCoO2 cathode (Fig.,"the electrolyte is named in the section's opening sentence, not the value's own sentence",2026-09-17
reference_records.csv,v6-B3-07 | 1 | voltage_window,status / quote_or_reason,stated | cycling stability of two cathodes at 1 C in the voltage range of 2.7–4.3 V,stated_elsewhere | cycling stability of two cathodes at 1 C in the voltage range of 2.7–4.3 V,the value is in the conclusion; the window comes from the results sentence on Figure 2B,2026-09-17
reference_records.csv,v6-B2-03 | 1 | cell_type,status / quote_or_reason,stated | Li/NCM811 coin-cells,stated | Charge-discharge cycling performances of Li/NCM811 coin-cells,status kept; quote moved to the value's own figure caption (Figure 6),2026-09-17
reference_records.csv,v6-B4-04 | 1 | electrolyte,status / quote_or_reason,stated | 2.2 Preparation of GPEs Liquid electrolyte (LE) was prepared by dissolving 2 M LiTFSI and 0.2 M LiDFOB in a mixture of EC and DMC with a volume ratio of 3:7.,stated_elsewhere | 2.2 Preparation of GPEs Liquid electrolyte (LE) was prepared by dissolving 2 M LiTFSI and 0.2 M LiDFOB in a mixture of EC and DMC with a volume ratio of 3:7.,the electrolyte composition comes from the methods; the value's sentence only names the cell,2026-09-17
reference_records.csv,v6-B2-10 | 1 | cell_type,status / quote_or_reason,stated | the lithium-ion full cell using NMC811 as the cathode and TPEHBZ-ThBS CMP as the anode,stated | The fabricated full cell (TPEHBZ-ThBS CMP|1 M LiPF6|NMC811),status kept; quote moved from the abstract to the value's own passage,2026-09-17
reference_records.csv,v6-B2-06 | 1 | c_rate,status / quote_or_reason,stated | Long-term cycling was conducted at 1 C for 150 cycles,stated_elsewhere | Long-term cycling was conducted at 1 C for 150 cycles,"the 1 C cycling rate comes from the methods and section 3.3, not the value's own table row",2026-09-17
reference_records.csv,v6-B2-06 | 1 | voltage_window,status / quote_or_reason,"stated | However, Al2O3 surface treatment stabilized the cathode material’s structure, with a 2.8–4.4 V cutoff potential identiﬁed as the optimized cycling condition for NCM811@Al2O3 in this research",stated_elsewhere | Upper Cutoff Voltage (V) ... 187.23 158.74 84.79 0.1413 4.4 ... followed by discharging to 2.8 V at the same rate as charging,"quote moved from the conclusion to the value's own table row; 2026-09-17 release audit: the value's table row gives only the 4.4 V upper cutoff; the 2.8 V lower bound comes from the methods, so the status is stated_elsewhere",2026-09-17
reference_records.csv,v5-3B | 1 | capacity_type,status / quote_or_reason,"stated_elsewhere | At 1 C with a cathode loading of 15.3 mg ­cm–2, the full-cell delivered 137.1 mAh ­g–1 (areal capacity: 2.10 mAh ­cm–2) after 100 cycles, corresponding to a capacity retention of 81.2% (Fig.",not_reported | the paper says the full cell 'delivered' 137.1 mAh/g with a capacity retention but never says charge or discharge; reading it as discharge is a convention,"fact follows only from terminology ('delivered', 'capacity retention'); rule 2026-09-17: conventions are not_reported. Reverses an earlier review change to stated_elsewhere",2026-09-17
reference_records.csv,v6-B1-11 | 1 | cycle,status / quote_or_reason,"stated_elsewhere | Moreover, even with a high mass loading of 38.7 mg cm−2, the SPE-NCM811 cathode also exhibited a considerably large discharge capacity of 203.9 mA h g–1 at 0.1 C at 60°C with an ICE of up to 92.8% (Figure S17).",not_reported | the paper gives 203.9 mAh/g with its ICE (92.8%) but never names the cycle; reading ICE as first-cycle is a convention,fact follows only from terminology (ICE); rule 2026-09-17: conventions are not_reported,2026-09-17
reference_records.csv,v6-B3-05 | 1 | capacity_type,status / quote_or_reason,stated | a reversible specific capacity of 158,not_reported | the paper calls 158 mAh/g a 'reversible specific capacity' and never says charge or discharge; reading it as discharge is a convention,fact follows only from terminology ('reversible specific capacity'); rule 2026-09-17: conventions are not_reported,2026-09-17
reference_records.csv,v6-B1-09 | 1 | electrolyte,status / quote_or_reason,stated | NCM811|P15 Z30 PEDF|Li,stated | The specific discharge capacities of NCM811|P15 Z30 PEDF|Li are 162.6 mAh g− 1,2026-09-17 release audit: quote extended to the full value clause; the cell notation in the value's own sentence names the P15 Z30 PEDF electrolyte,2026-09-17
reference_records.csv,v6-B1-01 | 1 | electrolyte,status / quote_or_reason,stated | NCM811|P15 Z30 PEDF|Li,stated | the NCM811|P15 Z30 PEDF|Li shows an initial specific discharge capacity of 185.6 mAh g− 1 at 0.5 C,2026-09-17 release audit: quote extended to the full value clause; the cell notation in the value's own sentence names the P15 Z30 PEDF electrolyte,2026-09-17
reference_records.csv,v6-B1-12 | 1 | electrolyte,status / quote_or_reason,stated | The high-mass-loading cell with the G-P3 AR,stated | The high- mass-loading cell with the G-P3 AR exhibits 76.6% capacity retention after 200 cycles,"2026-09-17 release audit: quote extended from a truncated fragment to the value's full sentence, which names the G-P3 AR electrolyte",2026-09-17
reference_records.csv,v6-B1-12 | 1 | cell_type,status / quote_or_reason,"stated_elsewhere | Thus, LMBs with NCM811 cathodes were assembled and evaluated at 25 °C with a cutoff volt- age of 4.3 V.","stated_elsewhere | Thus, LMBs with NCM811 cathodes were assembled and evaluated at 25 °C with a cutoff volt- age of 4.3 V. ... cells with high-mass-loading NCM811 cathodes (area capacity of 2 mAh cm−2) were assembled",2026-09-17 release audit: quote extended to link the lithium metal battery (LMB) assembly sentence to the high-mass-loading cells the value belongs to,2026-09-17
reference_records.csv,v6-B1-14 | 1 | electrolyte,status / quote_or_reason,"stated_elsewhere | This slurry was applied onto a carbon-coated aluminum current collector using an automatic ﬁlm applicator Zehntner ZAA 2300, dried, and then cut into 15 mm diameter disks with cathode loading of 3.7–4.4 mg/cm2. 1 M LiPF6 solution in ethylene carbonate/ethyl methyl carbonate solution (EC:EMC = 2:5 by weight) + 2 wt.% of vinylene carbonate was used as an electrolyte",stated_elsewhere | 1 M LiPF6 solution in ethylene carbonate/ethyl methyl carbonate solution (EC:EMC = 2:5 by weight) + 2 wt.% of vinylene carbonate was used as an electrolyte. ... The full cells were assembled in an Ar- ﬁlled glove box,2026-09-17 release audit: previous quote (a slurry-coating sentence) did not mention the electrolyte; replaced with the full-cell methods sentence that names it,2026-09-17
