item,case_id,control_item,question,our_status_at_the_time,second_annotator,second_annotator_sentence
A01,v6-B2-05,True,"Measurement: 183.7 mAh/g, modification: 1 wt% MWCNT conductive additive, rate 0.33C (after 3 cycles at 0.1C), cycle 50, discharge, window 2.8–4.3 V, half cell, Li metal, 30 °C, electrolyte 1 M LiPF6 in EC:EMC 3:7 (wt). Does the paper establish the cathode material of this sample?",stated_elsewhere,NO,
A02,v6-B1-10,False,"Measurement: 224 mAh/g, material NCM811, rate 0.2C, window 3.0–4.6 V, half cell, Li metal, 25 °C, electrolyte 1 M LiBF4 + 1 M LiDFOB in tFEP/FEC. Does the paper establish whether the value is a charge capacity or a discharge capacity?",not_reported,NO,
A03,v5-3E,False,"Measurement: 141 mAh/g, material NCM811 (regenerated), modification: aluminium present (>1%) in the regenerated material; not an intentional modification, rate 0.1C, cycle 5, discharge, window 2.8–4.3 V, half cell, Li metal, electrolyte TC-E918 (LiPF6 in organic carbonates). Does the paper establish the test temperature for this value?",not_reported,NO,
A04,v5-3B,False,"Measurement: 137.1 mAh/g, material NCM811, rate 1C (1C = 180 mA/g), cycle 100, window 2.0–4.3 V, full cell, Si/a-Sn/CoSi2/G/C anode, room temperature (no number). Does the paper establish the electrolyte used in this cell?",not_reported,NO,
A05,v6-B2-11,False,"Measurement: ~100 mAh/g, material NMC811 (0.2 M metal-concentration synthesis), rate C/3 (after one C/10 activation cycle), cycle 100, window 3.0–4.5 V, half cell, Li metal, 25 °C, electrolyte 1 M LiPF6 in EC:DMC 1:1 (v/v), LP30. Does the paper establish whether the value is a charge capacity or a discharge capacity?",not_reported,NO,
A06,v6-B2-01,True,"Measurement: 205.79 mAh/g, material NMC811@cPAN, modification: PAN-derived carbon coating, discharge, window 2.8–4.3 V, half cell, Li metal, 28 °C, electrolyte 1 M LiPF6 in EC/EMC/DEC 2:2:1 (wt) + 10 wt% FEC. Does the paper establish the C-rate for this value?",stated,YES,"When the current rate returns to 0.2 C, 98.6% of the initial capacity at 0.2 C has been recovered, and the discharge capacity of NMC811@cPAN has reached 205.79 mAh g−1."
A07,v6-B1-11,False,"Measurement: 203.9 mAh/g, material NCM811, modification: SPE coating (high loading, 38.7 mg/cm2), rate 0.1C, discharge, all-solid-state cell with a Li–In alloy negative electrode, 60 °C, electrolyte Li6PS5Cl (inorganic sulfide solid electrolyte). Does the paper establish the voltage window (cutoffs) for this value?",not_reported,NO,
A08,v5-1B,True,"Measurement: 149.04 mAh/g, material NCM811, modification: Al2O3 coating, rate 1C, discharge, half cell, Li foil, 25 °C, electrolyte 1 M LiPF6 in EC:DEC 1:1. Does the paper establish the voltage window (cutoffs) for this value and which cycle the value comes from?",stated,YES,"The impact of Al2O3 using the ALD coating system on the enhancement of the electrochemical performance of the NCM811 cathode material was assessed through cycling at 1 C across the voltage ranges of 2.8–4.3, 4.4, and 4.5 V vs. Li/Li+ at 25 °C, as depicted in Figure 3. [...] After 150 cycles, the former delivered 149.04 mAh g−1, while the latter achieved 127.69 mAh g−1."
A09,v6-B2-08,False,"Measurement: 167.6 mAh/g, material NCM811 (NCMSe), modification: selenium modification, rate 10C, discharge, window 2.7–4.5 V, half cell, Li metal, electrolyte 1.0 M LiPF6 in EC:DEC 3:7 (wt). Does the paper establish the test temperature for this value?",not_reported,NO,
A10,v6-B1-09,False,"Measurement: 162.6 mAh/g, material NCM811, rate 0.2C, discharge, Li metal negative electrode (NCM811|P15 Z30 PEDF|Li; the paper calls these full cells), electrolyte composite solid electrolyte P15 Z30 PEDF. Does the paper establish the test temperature for this value?",not_reported,NO,
