case_id,input_n,value,quote,sample,c_rate,cycle,temperature,cell_type
v5-4A,1,218 mAh/g,"The first charge/discharge specific capacities of the SCNCM and SCNCM/(ALP+BA)-1 electrodes were 251/216 and 247/218 mAh g-1, the corresponding ICE was 86.0% and 88.1%, respectively.",SCNCM/(ALP+BA)-1,0.1 C,first cycle,25 C,"coin half cell, Li foil counter"
v5-4A,2,83.8%,"In addition to the enhanced ICE, the capacity retention rate of the SCNCM/(ALP+BA)-1 electrode (83.8%) is much greater than that of the primitive electrode (55.1%).",SCNCM/(ALP+BA)-1,1 C,200 cycles,25 C,"coin half cell, Li foil counter"
v5-4B,1,202 mAh/g,"|CP7_MW3|83|202|194|182|165|144|120|93|85|78|  (Table 3, column 0.1C, header '1st Cycle')",CP7_MW3,0.1C,1st cycle,room temperature (methods),coin-type half cell 2032R
v5-4B,2,78%,"In turn, capacity retention for CP7_MW3 of 85% and 78% after 200 and 300 cycles at 1C (Figure S13) noticeably exceeds the corresponding values of 77% and 69% for CP_A (Table 3)",CP7_MW3,1C,300 cycles,room temperature (methods),coin-type half cell 2032R
v5-4D,1,226.5 mAh/g,"Turning to the LMB cells based on NMC811 the charge-discharge voltage profiles recorded at 0.1C rate show a steep potential rise to 3.97 V, followed by a drop to 3.89 V for the 1st cycle after delivering a capacity of 226.5 mAh g−1 (Fig. 7a)",Li||NMC811 dual salt,0.1C,1st cycle,not reported,Li||NMC811 cell
v5-4D,2,90%,"Overall, the Li||NMC811 cell with the dual salt electrolyte exhibits a very good to excellent capacity retention of 90 %, with an average CE exceeding 98 % at 0.2C rate after 100 cycles (Fig. 7b).",Li||NMC811 dual salt,0.2C,100 cycles,not reported,Li||NMC811 cell
v6-B1-12,1,176 mAh/g,"When cycled at 0.5 C for charging and 1 C for discharging, the Li|G-P3 AR|NCM811 cell delivers an initial capacity of 176 mAh g-1 and maintains 81.7% capacity retention after 500 cycles (Fig. S11)",Li|G-P3 AR|NCM811,0.5C charge / 1C discharge,initial,25 C,Li metal cell
v6-B1-12,2,76.6%,The highmass-loading cell with the G-P3 AR exhibits 76.6% capacity retention after 200 cycles (Fig. S13),"high-mass-loading cell, G-P3 AR",not reported,200 cycles,not reported,not reported in this sentence
v6-B1-14,1,202 mAh/g,"|CP7_MW3|83|202|194|182|165|144|120|93|85|78|  (Table 3, column 0.1C, header '1st Cycle')",CP7_MW3,0.1C,1st cycle,room temperature (methods),coin-type HALF cell 2032R
v6-B1-14,2,88%,Both materials demonstrate capacity retention of 88-90% after 300 cycles at 1C (Figure 13).,both materials,1C,300 cycles,room temperature (methods),FULL cell
v6-B2-12,1,180.8 mAh/g,"whereas they are only 180.8 mAh g-1 at 25C, and 109.6 mAh g-1 at -40C for the EC-based cells.",EC-based cells,0.2 C,not reported,25 C,coin cell
v6-B2-12,2,93.1%,"In 1 M LiPF6 EC/EMC electrolyte, the discharge capacity fades very rapidly with just 93.1% capacity retention after 100 cycles",Li/NCM811 cells,0.2 C,100 cycles,not reported,coin cell
v6-B2-13,1,216 mAh/g,"Specifically, the pristine P0.0-NCM811 and P0.5-NCM811 cathode materials delivered an initial discharge capacity of approximately 216 and 215 mA hg-1, respectively",P0.0-NCM811 (UNMODIFIED),0.1 C,initial,25 C,"half cell, Li metal"
v6-B2-13,2,82.9%,"corresponding to capacity retentions of approximately 95.8% (0.5 C), 92.6% (1.0 C), 88.0% (2.0 C), and 82.9% (4.0 C), as shown in Figure 4f and Figure S11a.",P0.3-NCM811 (MODIFIED),4.0 C,not reported,not reported in this sentence,not reported in this sentence
v6-B3-12,1,202.61 mAh/g,"| 0 (control)|202.61<br>104.81|31|  (Table 1, column '@0.1C'; caption states fade was calculated after 100 cycles)",0 (control),0.1C,not reported,ambient temperature,CR2032 coin half cell
v6-B3-12,2,69%,"The pristine NMC811 battery has ~69% capacity retention, whereas the rGO modified battery has ~85% capacity retention after 88 cycles over the voltage window of 2.5 V-4.5 V at 2C.",pristine NMC811,2C,88 cycles,ambient temperature,CR2032 coin half cell
v6-B3-13,1,225 mAh/g,"As illustrated in Figure 5e,f, the ﬁrst charge/discharge speciﬁc capacities of SCNCM electrode and SCNCM/(ALP+BA)-1 electrode were 247/225 and 241/225 at 4.5 V cut-off voltage and 55 ◦C, respectively, and the correlation capacity retention rates were 54.8% and 80.3% after 100 cycles.",SCNCM/(ALP+BA)-1,0.1 C (Figure 5e caption),first discharge,55 C,"coin half cell, Li foil counter"
v6-B3-13,2,80.3%,"As illustrated in Figure 5e,f, the ﬁrst charge/discharge speciﬁc capacities of SCNCM electrode and SCNCM/(ALP+BA)-1 electrode were 247/225 and 241/225 at 4.5 V cut-off voltage and 55 ◦C, respectively, and the correlation capacity retention rates were 54.8% and 80.3% after 100 cycles.",SCNCM/(ALP+BA)-1,1 C (Figure 5f caption),100 cycles,55 C,"coin half cell, Li foil counter"
