case_id,reference_row,paper,doi,field,value,status,quote_or_reason
v5-2F,1,PAPER 18,10.3390/batteries8070067,capacity,130,stated,ter 300 Cycles MW_15m_A 82 198 190 172 150 137 110 87 75 68 MW_30m_A 87 203 192 178 165 151 130 91 84 73 MW_60m_A 84 200 190 174 154 145 120 85 74 64 CP_A 78 199 192 178 165 156 131 90 77 69 CP7_MW3 83 202 194 182 165 144 120 93 85 78
v5-2F,1,PAPER 18,10.3390/batteries8070067,material,NMC811 (MW_30m_A),stated,ter 300 Cycles MW_15m_A 82 198 190 172 150 137 110 87 75 68 MW_30m_A 87 203 192 178 165 151 130 91 84 73 MW_60m_A 84 200 190 174 154 145 120 85 74 64 CP_A 78 199 192 178 165 156 131 90 77 69 CP7_MW3 83 202 194 182 165 144 120 93 85 78
v5-2F,1,PAPER 18,10.3390/batteries8070067,modification,"microwave-assisted hydrothermal precursor, 30 min",stated,MW and CP NMC811 samples
v5-2F,1,PAPER 18,10.3390/batteries8070067,capacity_type,discharge,stated,Table 3. Discharge capacity and capacity retention
v5-2F,1,PAPER 18,10.3390/batteries8070067,cycle,not_reported,not_reported,rate-test column; no cycle index given
v5-2F,1,PAPER 18,10.3390/batteries8070067,c_rate,5C,stated,Table 3. Discharge capacity and capacity retention for the MW and CP NMC811 samples ... 0.1C 0.2C 0.5C 1C 2C 5C
v5-2F,1,PAPER 18,10.3390/batteries8070067,voltage_window,2.7–4.3 V,stated_elsewhere,Galvanostatic tests were performed ... in the potential range of 2.7–4.3 V
v5-2F,1,PAPER 18,10.3390/batteries8070067,cell_type,"half cell, Li foil",stated_elsewhere,with a lithium foil disc as a counter electrode
v5-2F,1,PAPER 18,10.3390/batteries8070067,temperature,room temperature (no number),stated_elsewhere,at room temperature
v5-2F,1,PAPER 18,10.3390/batteries8070067,electrolyte,1 M LiPF6 in EC/PC/DMC,stated_elsewhere,"Coin-type half-cells (2032 R) were assembled in an Ar-ﬁlled glove box using the electrolyte consisting of 1M LiPF6 (Sigma-Aldrich, 99.99%) solution in ethylene carbonate/propylene carbonate/dimethyl carbonate solution (EC:PC:DMC = 1:1:3 vol. ratio)"
v5-2F,2,PAPER 18,10.3390/batteries8070067,capacity,131,stated,1 130 91 84 73 MW_60m_A 84 200 190 174 154 145 120 85 74 64 CP_A 78 199 192 178 165 156 131 90 77 69 CP7_MW3 83 202 194 182 165 144 120 93 85 78 NMC811 [20] 82 196 180 162 150 125 100 87 79 - To evaluate the processes taking place
v5-2F,2,PAPER 18,10.3390/batteries8070067,material,NMC811 (CP_A),stated,1 130 91 84 73 MW_60m_A 84 200 190 174 154 145 120 85 74 64 CP_A 78 199 192 178 165 156 131 90 77 69 CP7_MW3 83 202 194 182 165 144 120 93 85 78 NMC811 [20] 82 196 180 162 150 125 100 87 79 - To evaluate the processes taking place
v5-2F,2,PAPER 18,10.3390/batteries8070067,modification,conventional co-precipitation precursor,stated,MW and CP NMC811 samples
v5-2F,2,PAPER 18,10.3390/batteries8070067,capacity_type,discharge,stated,Table 3. Discharge capacity and capacity retention
v5-2F,2,PAPER 18,10.3390/batteries8070067,cycle,not_reported,not_reported,rate-test column; no cycle index given
v5-2F,2,PAPER 18,10.3390/batteries8070067,c_rate,5C,stated,Table 3. Discharge capacity and capacity retention for the MW and CP NMC811 samples ... 0.1C 0.2C 0.5C 1C 2C 5C
v5-2F,2,PAPER 18,10.3390/batteries8070067,voltage_window,2.7–4.3 V,stated_elsewhere,Galvanostatic tests were performed ... in the potential range of 2.7–4.3 V
v5-2F,2,PAPER 18,10.3390/batteries8070067,cell_type,"half cell, Li foil",stated_elsewhere,with a lithium foil disc as a counter electrode
v5-2F,2,PAPER 18,10.3390/batteries8070067,temperature,room temperature (no number),stated_elsewhere,at room temperature
v5-2F,2,PAPER 18,10.3390/batteries8070067,electrolyte,1 M LiPF6 in EC/PC/DMC,stated_elsewhere,"Coin-type half-cells (2032 R) were assembled in an Ar-ﬁlled glove box using the electrolyte consisting of 1M LiPF6 (Sigma-Aldrich, 99.99%) solution in ethylene carbonate/propylene carbonate/dimethyl carbonate solution (EC:PC:DMC = 1:1:3 vol. ratio)"
v5-4D,1,PAPER 06,10.1016/j.jpowsour.2025.239241,capacity,not_reported,not_reported,no capacity after 100 cycles; only 'capacity retention of 90 %'
v5-4D,1,PAPER 06,10.1016/j.jpowsour.2025.239241,material,NMC811 (LiNi0.8Mn0.1Co0.1O2),stated,LiNi0.8Mn0.1Co0.1O2 (NMC811; Guangdong Canard)
v5-4D,1,PAPER 06,10.1016/j.jpowsour.2025.239241,modification,not_reported,not_reported,"no coating, dopant or other modification is named for this sample"
v5-4D,1,PAPER 06,10.1016/j.jpowsour.2025.239241,capacity_type,retention only,stated,capacity retention of 90 %
v5-4D,1,PAPER 06,10.1016/j.jpowsour.2025.239241,cycle,100,stated,after 100 cycles
v5-4D,1,PAPER 06,10.1016/j.jpowsour.2025.239241,c_rate,0.2C,stated,at 0.2C rate after 100 cycles
v5-4D,1,PAPER 06,10.1016/j.jpowsour.2025.239241,voltage_window,2.8–4.3 V,stated_elsewhere,for the NMC811 cells within 2.8–4.3 V
v5-4D,1,PAPER 06,10.1016/j.jpowsour.2025.239241,cell_type,"half cell, Li metal (Li||NMC811)",stated,the Li||NMC811 cell with the dual salt electrolyte
v5-4D,1,PAPER 06,10.1016/j.jpowsour.2025.239241,temperature,not_reported,not_reported,no test temperature given
v5-4D,1,PAPER 06,10.1016/j.jpowsour.2025.239241,electrolyte,1.5 M LiSac + 0.2 M LiBOB in TEP + 2% VC,stated,"The dual salt electrolyte, 1.5 M LiSac + 0.2 M LiBOB in TEP w. 2 % VC"
v5-1B,1,PAPER 12,10.3390/mi15070894,capacity,149.04,stated,"After 150 cycles, the former delivered 149.04 mAh g−1"
v5-1B,1,PAPER 12,10.3390/mi15070894,material,NCM811,stated,Al2O3-coated NCM811
v5-1B,1,PAPER 12,10.3390/mi15070894,modification,Al2O3 coating,stated,the Al2O3-coated sample
v5-1B,1,PAPER 12,10.3390/mi15070894,capacity_type,discharge,stated,ween 2.8 and 4.5 V. Sample 1st Discharge Capacity (mAh g−1) 150th Discharge Capacity (mAh g−1) Capacity Retention (%) Voltage Fading (V) Upper Cutoff Voltage (V) Pristine NCM811 179.46 147.51 82.00 0.0986 4.3 189.62 144.52 75.68 0.155
v5-1B,1,PAPER 12,10.3390/mi15070894,cycle,150,stated,After 150 cycles
v5-1B,1,PAPER 12,10.3390/mi15070894,c_rate,1C,stated,at 1 C discharge current
v5-1B,1,PAPER 12,10.3390/mi15070894,voltage_window,2.8–4.5 V,stated,over 150 cycles between 2.8 and 4.5 V
v5-1B,1,PAPER 12,10.3390/mi15070894,cell_type,"half cell, Li foil",stated_elsewhere,Lithium foil served as the anode
v5-1B,1,PAPER 12,10.3390/mi15070894,temperature,25 °C,stated_elsewhere,cycling at 1 C across ... 4.5 V vs. Li/Li+ at 25 °C
