record_id,doi,field,old,new,paper_supported_value,raw_formulation,error_type,resolution,evidence,date
nmc-1766,10.1149/1945-7111/ad1d26,active_material_wt_pct,87.7,89.5,89.5,89.5/5.0/4.0/3.5 CAM/SiO2/C65/PVDF,extraction error: derived (renormalized) value,replaced with paper-stated value; derived 87.7 kept in history,"extraction error (derived value): paper states 'CAM/SiO2/C65/PVDF ink composition of 89.5/5.0/4.0/3.5 (by weight)'; previous value was 89.5 renormalized over the 102 total, inconsistent with the unrenormalized 4.0 and 3.5; paper-stated value used",2026-09-17
nmc-1765,10.1149/1945-7111/ad1d26,active_material_wt_pct,87.7,89.5,89.5,89.5/5.0/4.0/3.5 CAM/SiO2/C65/PVDF,extraction error: derived (renormalized) value,replaced with paper-stated value; derived 87.7 kept in history,"extraction error (derived value): paper states 'CAM/SiO2/C65/PVDF ink composition of 89.5/5.0/4.0/3.5 (by weight)'; previous value was 89.5 renormalized over the 102 total, inconsistent with the unrenormalized 4.0 and 3.5; paper-stated value used",2026-09-17
nmc-1762,10.1149/1945-7111/ad1d26,active_material_wt_pct,87.7,89.5,89.5,89.5/5.0/4.0/3.5 CAM/SiO2/C65/PVDF,extraction error: derived (renormalized) value,replaced with paper-stated value; derived 87.7 kept in history,"extraction error (derived value): paper states 'CAM/SiO2/C65/PVDF ink composition of 89.5/5.0/4.0/3.5 (by weight)'; previous value was 89.5 renormalized over the 102 total, inconsistent with the unrenormalized 4.0 and 3.5; paper-stated value used",2026-09-17
nmc-1761,10.1149/1945-7111/ad1d26,active_material_wt_pct,87.7,89.5,89.5,89.5/5.0/4.0/3.5 CAM/SiO2/C65/PVDF,extraction error: derived (renormalized) value,replaced with paper-stated value; derived 87.7 kept in history,"extraction error (derived value): paper states 'CAM/SiO2/C65/PVDF ink composition of 89.5/5.0/4.0/3.5 (by weight)'; previous value was 89.5 renormalized over the 102 total, inconsistent with the unrenormalized 4.0 and 3.5; paper-stated value used",2026-09-17
nmc-0571,10.3390/batteries10100354,active_material_wt_pct,93,92.6,92.6,92.6:2.8:1.8:2.8,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'NMC 622: carbon black: Na-CMC: TRD 202A = 92.6:2.8:1.8:2.8'",2026-09-17
nmc-1921,10.1038/s41598-021-84799-1,conductive_additive_wt_pct,0.1,1,1,7:2.9:0.1,extraction error: fields normalized on different scales,all parts normalized with the same factor,"mixed scale: paper 'cathode composites were prepared by milling mixtures 7:2.9:0.1 by weight of NCM622, β-Li3PS4 or Li6PS5Cl and Super C65 carbon black'; ratio normalized to 100 by multiplying every part by 100/10 = 10 (AM 7 -> 70, SE 2.9 -> 29, CA 0.1 -> 1); AM had been scaled but CA had not",2026-09-17
nmc-1914,10.1002/marc.202200335,active_material_wt_pct,,90,90,not_reported,extraction error: paper-stated value not extracted,paper-stated value filled,"value omitted: paper 'NMC622 (1 g, 90 wt%), Super C65 (0.077 g, 7 wt%)'; for the PCL rows, PCL was introduced 'replacing half the amount of polyvinylidene difluoride (PVdF) binder', so the active fraction is unchanged; binder wt% not established and left empty",2026-09-17
nmc-1914,10.1002/marc.202200335,electrode_ratio_raw,not_reported,"NMC622 (1 g, 90 wt%), Super C65 (0.077 g, 7 wt%), and 1.27 g of NMP solution (containing 3 wt% of PVdF)","paper wording (verbatim, with note where carried over)",not_reported,raw evidence missing: normalized values present while electrode_ratio_raw read not_reported,electrode_ratio_raw filled with the paper wording behind the normalized values,raw evidence filled: paper wording that establishes active_material_wt_pct 90 and conductive_additive_wt_pct 7 for the reference cathode,2026-09-17
nmc-1917,10.1002/marc.202200335,active_material_wt_pct,,90,90,not_reported,extraction error: paper-stated value not extracted,paper-stated value filled,"value omitted: paper 'NMC622 (1 g, 90 wt%), Super C65 (0.077 g, 7 wt%)'; for the PCL rows, PCL was introduced 'replacing half the amount of polyvinylidene difluoride (PVdF) binder', so the active fraction is unchanged; binder wt% not established and left empty",2026-09-17
nmc-1917,10.1002/marc.202200335,electrode_ratio_raw,not_reported,"PCL cathode: 1.5 wt% of PCL-based star polymer was introduced into the cathode slurry upon electrode preparation, replacing half the amount of polyvinylidene difluoride (PVdF) binder; reference cathode: NMC622 (1 g, 90 wt%), Super C65 (0.077 g, 7 wt%), and 1.27 g of NMP solution (containing 3 wt% of PVdF) [note: 90 wt% active is stated for the reference cathode only; for the PCL cathode it is carried over from the statement that PCL replaces half the PVdF binder]","paper wording (verbatim, with note where carried over)",not_reported,raw evidence missing: normalized values present while electrode_ratio_raw read not_reported,electrode_ratio_raw filled with the paper wording behind the normalized values,raw evidence filled: PCL formulation wording plus the reference-cathode wording; the note records that 90 wt% active is stated for the reference cathode and carried over to the PCL cathode,2026-09-17
nmc-1915,10.1002/marc.202200335,active_material_wt_pct,,90,90,not_reported,extraction error: paper-stated value not extracted,paper-stated value filled,"value omitted: paper 'NMC622 (1 g, 90 wt%), Super C65 (0.077 g, 7 wt%)'; for the PCL rows, PCL was introduced 'replacing half the amount of polyvinylidene difluoride (PVdF) binder', so the active fraction is unchanged; binder wt% not established and left empty",2026-09-17
nmc-1915,10.1002/marc.202200335,electrode_ratio_raw,not_reported,"NMC622 (1 g, 90 wt%), Super C65 (0.077 g, 7 wt%), and 1.27 g of NMP solution (containing 3 wt% of PVdF)","paper wording (verbatim, with note where carried over)",not_reported,raw evidence missing: normalized values present while electrode_ratio_raw read not_reported,electrode_ratio_raw filled with the paper wording behind the normalized values,raw evidence filled: paper wording that establishes active_material_wt_pct 90 and conductive_additive_wt_pct 7 for the reference cathode,2026-09-17
nmc-1916,10.1002/marc.202200335,active_material_wt_pct,,90,90,not_reported,extraction error: paper-stated value not extracted,paper-stated value filled,"value omitted: paper 'NMC622 (1 g, 90 wt%), Super C65 (0.077 g, 7 wt%)'; for the PCL rows, PCL was introduced 'replacing half the amount of polyvinylidene difluoride (PVdF) binder', so the active fraction is unchanged; binder wt% not established and left empty",2026-09-17
nmc-1916,10.1002/marc.202200335,electrode_ratio_raw,not_reported,"PCL cathode: 1.5 wt% of PCL-based star polymer was introduced into the cathode slurry upon electrode preparation, replacing half the amount of polyvinylidene difluoride (PVdF) binder; reference cathode: NMC622 (1 g, 90 wt%), Super C65 (0.077 g, 7 wt%), and 1.27 g of NMP solution (containing 3 wt% of PVdF) [note: 90 wt% active is stated for the reference cathode only; for the PCL cathode it is carried over from the statement that PCL replaces half the PVdF binder]","paper wording (verbatim, with note where carried over)",not_reported,raw evidence missing: normalized values present while electrode_ratio_raw read not_reported,electrode_ratio_raw filled with the paper wording behind the normalized values,raw evidence filled: PCL formulation wording plus the reference-cathode wording; the note records that 90 wt% active is stated for the reference cathode and carried over to the PCL cathode,2026-09-17
nmc-0002,10.3390/nano15030156,conductive_additive_wt_pct,7,8,8,88:7:1:4,extraction error: named conductive additive omitted from the sum,conductive additives summed as the paper groups them,additive omitted: paper Table 2 groups Carbon Black and MWCNTs under 'Conductive Additive (wt%)' (88 / 8-x / x / 4); the stored value counted carbon black only; explicitly named conductive additives summed,2026-09-17
nmc-0003,10.3390/nano15030156,conductive_additive_wt_pct,6,8,8,88:6:2:4,extraction error: named conductive additive omitted from the sum,conductive additives summed as the paper groups them,additive omitted: paper Table 2 groups Carbon Black and MWCNTs under 'Conductive Additive (wt%)' (88 / 8-x / x / 4); the stored value counted carbon black only; explicitly named conductive additives summed,2026-09-17
nmc-0506,10.1002/advs.202001809,active_material_wt_pct,92,92.5,92.5,92.5:4.5:3,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'active materials, super P … and polyvinylidene fluoride in a weight ratio of 92.5:4.5:3'",2026-09-17
nmc-0507,10.1002/advs.202001809,active_material_wt_pct,92,92.5,92.5,92.5:4.5:3,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'active materials, super P … and polyvinylidene fluoride in a weight ratio of 92.5:4.5:3'",2026-09-17
nmc-0508,10.1002/advs.202001809,active_material_wt_pct,92,92.5,92.5,92.5:4.5:3,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'active materials, super P … and polyvinylidene fluoride in a weight ratio of 92.5:4.5:3'",2026-09-17
nmc-0509,10.1002/advs.202001809,active_material_wt_pct,92,92.5,92.5,92.5:4.5:3,extraction error: rounded whole number,replaced with the decimal stated in electrode_ratio_raw and the paper,"decimal rule: electrode_ratio_raw explicitly gives a decimal wt% for the component, so the paper-stated decimal replaces the rounded whole-number extraction; paper: 'active materials, super P … and polyvinylidene fluoride in a weight ratio of 92.5:4.5:3'",2026-09-17
