reference_id,case_id,reference_row,paper,doi,deciding_field,capacity_mAh_g_value,capacity_mAh_g_status,capacity_mAh_g_evidence,material_value,material_status,material_evidence,modifier_value,modifier_status,modifier_evidence,capacity_type_value,capacity_type_status,capacity_type_evidence,cycle_value,cycle_status,cycle_evidence,c_rate_value,c_rate_status,c_rate_evidence,voltage_window_value,voltage_window_status,voltage_window_evidence,cell_type_value,cell_type_status,cell_type_evidence,operating_temperature_value,operating_temperature_status,operating_temperature_evidence,electrolyte_value,electrolyte_status,electrolyte_evidence
v5-2F/1,v5-2F,1,PAPER 18,10.3390/batteries8070067,voltage_window;temperature;electrolyte;cell_type,130,stated,ter 300 Cycles MW_15m_A 82 198 190 172 150 137 110 87 75 68 MW_30m_A 87 203 192 178 165 151 130 91 84 73 MW_60m_A 84 200 190 174 154 145 120 85 74 64 CP_A 78 199 192 178 165 156 131 90 77 69 CP7_MW3 83 202 194 182 165 144 120 93 85 78,NMC811 (MW_30m_A),stated,ter 300 Cycles MW_15m_A 82 198 190 172 150 137 110 87 75 68 MW_30m_A 87 203 192 178 165 151 130 91 84 73 MW_60m_A 84 200 190 174 154 145 120 85 74 64 CP_A 78 199 192 178 165 156 131 90 77 69 CP7_MW3 83 202 194 182 165 144 120 93 85 78,"microwave-assisted hydrothermal precursor, 30 min",stated,MW and CP NMC811 samples,discharge,stated,Table 3. Discharge capacity and capacity retention,,not_reported,rate-test column; no cycle index given,5C,stated,Table 3. Discharge capacity and capacity retention for the MW and CP NMC811 samples ... 0.1C 0.2C 0.5C 1C 2C 5C,2.7–4.3 V,stated_elsewhere,Galvanostatic tests were performed ... in the potential range of 2.7–4.3 V,"half cell, Li foil",stated_elsewhere,with a lithium foil disc as a counter electrode,room temperature (no number),stated_elsewhere,Galvanostatic tests were performed using a Neware BTS4000-5V10mA Battery Testing System with a lithium foil disc as a counter electrode in the potential range of 2.7–4.3 V at room temperature at different current rates from 0.1C to 5C (1C = 200 mA/g).,1 M LiPF6 in EC/PC/DMC,stated_elsewhere,"Coin-type half-cells (2032 R) were assembled in an Ar-ﬁlled glove box using the electrolyte consisting of 1M LiPF6 (Sigma-Aldrich, 99.99%) solution in ethylene carbonate/propylene carbonate/dimethyl carbonate solution (EC:PC:DMC = 1:1:3 vol. ratio)"
v5-2F/2,v5-2F,2,PAPER 18,10.3390/batteries8070067,voltage_window;temperature;electrolyte;cell_type,131,stated,1 130 91 84 73 MW_60m_A 84 200 190 174 154 145 120 85 74 64 CP_A 78 199 192 178 165 156 131 90 77 69 CP7_MW3 83 202 194 182 165 144 120 93 85 78 NMC811 [20] 82 196 180 162 150 125 100 87 79 - To evaluate the processes taking place,NMC811 (CP_A),stated,1 130 91 84 73 MW_60m_A 84 200 190 174 154 145 120 85 74 64 CP_A 78 199 192 178 165 156 131 90 77 69 CP7_MW3 83 202 194 182 165 144 120 93 85 78 NMC811 [20] 82 196 180 162 150 125 100 87 79 - To evaluate the processes taking place,conventional co-precipitation precursor,stated,MW and CP NMC811 samples,discharge,stated,Table 3. Discharge capacity and capacity retention,,not_reported,rate-test column; no cycle index given,5C,stated,Table 3. Discharge capacity and capacity retention for the MW and CP NMC811 samples ... 0.1C 0.2C 0.5C 1C 2C 5C,2.7–4.3 V,stated_elsewhere,Galvanostatic tests were performed ... in the potential range of 2.7–4.3 V,"half cell, Li foil",stated_elsewhere,with a lithium foil disc as a counter electrode,room temperature (no number),stated_elsewhere,Galvanostatic tests were performed using a Neware BTS4000-5V10mA Battery Testing System with a lithium foil disc as a counter electrode in the potential range of 2.7–4.3 V at room temperature at different current rates from 0.1C to 5C (1C = 200 mA/g).,1 M LiPF6 in EC/PC/DMC,stated_elsewhere,"Coin-type half-cells (2032 R) were assembled in an Ar-ﬁlled glove box using the electrolyte consisting of 1M LiPF6 (Sigma-Aldrich, 99.99%) solution in ethylene carbonate/propylene carbonate/dimethyl carbonate solution (EC:PC:DMC = 1:1:3 vol. ratio)"
v5-4D/1,v5-4D,1,PAPER 06,10.1016/j.jpowsour.2025.239241,capacity,,not_reported,no capacity after 100 cycles; only 'capacity retention of 90 %',NMC811 (LiNi0.8Mn0.1Co0.1O2),stated,LiNi0.8Mn0.1Co0.1O2 (NMC811; Guangdong Canard),,not_reported,"no coating, dopant or other modification is named for this sample",retention only,stated,capacity retention of 90 %,100,stated,after 100 cycles,0.2C,stated,at 0.2C rate after 100 cycles,2.8–4.3 V,stated_elsewhere,for the NMC811 cells within 2.8–4.3 V,"half cell, Li metal (Li||NMC811)",stated,the Li||NMC811 cell with the dual salt electrolyte,,not_reported,no test temperature given,1.5 M LiSac + 0.2 M LiBOB in TEP + 2% VC,stated,"The dual salt electrolyte, 1.5 M LiSac + 0.2 M LiBOB in TEP w. 2 % VC"
v5-1B/1,v5-1B,1,PAPER 12,10.3390/mi15070894,voltage_window;cycle,149.04,stated,"After 150 cycles, the former delivered 149.04 mAh g−1",NCM811,stated,Al2O3-coated NCM811,Al2O3 coating,stated,the Al2O3-coated sample,discharge,stated,ween 2.8 and 4.5 V. Sample 1st Discharge Capacity (mAh g−1) 150th Discharge Capacity (mAh g−1) Capacity Retention (%) Voltage Fading (V) Upper Cutoff Voltage (V) Pristine NCM811 179.46 147.51 82.00 0.0986 4.3 189.62 144.52 75.68 0.155,150,stated,After 150 cycles,1C,stated,at 1 C discharge current,2.8–4.5 V,stated,over 150 cycles between 2.8 and 4.5 V,"half cell, Li foil",stated_elsewhere,Lithium foil served as the anode,25 °C,stated_elsewhere,cycling at 1 C across ... 4.5 V vs. Li/Li+ at 25 °C,1 M LiPF6 in EC:DEC 1:1,stated_elsewhere,The electrolyte used was 1 M LiPF6 dissolved in a 1:1 mixture of ethylene carbonate (EC) and diethyl carbonate (DEC)
v5-3A/1,v5-3A,1,PAPER 15,10.1016/j.jpowsour.2025.237184,cycle,213,stated,reversible discharge of 1.02 mAh/cm2 (213 mAh/g) during formation cycles,NMC811,stated,uncoated NMC811 electrode was obtained from Umicore,none (uncoated),stated,The uncoated NMC811 electrode,discharge (reversible),stated,reversible discharge of 1.02 mAh/cm2 (213 mAh/g),,not_reported,'during formation cycles' of three; which one is not given,0.1C,stated_elsewhere,followed by a C/10 discharge,2.5–4.3 V,stated,"during formation cycles (2.5–4.3V, 25.2 °C ± 0.2 °C)","half cell, Li foil",stated_elsewhere,2.50 V–4.30 V for the positive half-cells,25.2 °C,stated,"(2.5–4.3V, 25.2 °C ± 0.2 °C)",1 M LiPF6 in EC:EMC (30:70 wt) + 2 wt% VC,stated_elsewhere,1M LiPF6 in EC:EMC (30 %:70 % wt: wt) + 2 wt% VC
v5-1A/1,v5-1A,1,PAPER 15,10.1016/j.jpowsour.2025.237184,capacity_type;cycle,245,stated,first charge of 1.17 mAh/cm2 (245 mAh/g),NMC811,stated,uncoated NMC811 electrode was obtained from Umicore,none (uncoated),stated,The uncoated NMC811 electrode,charge,stated,first charge of 1.17 mAh/cm2 (245 mAh/g),"1 (first charge, formation)",stated,first charge ... during formation cycles,0.1C,stated_elsewhere,Formation cycles consisted of 3 cycles of constant current charge of C/10,2.5–4.3 V,stated,"during formation cycles (2.5–4.3V, 25.2 °C ± 0.2 °C)","half cell, Li foil",stated_elsewhere,2.50 V–4.30 V for the positive half-cells,25.2 °C,stated,"(2.5–4.3V, 25.2 °C ± 0.2 °C)",1 M LiPF6 in EC:EMC (30:70 wt) + 2 wt% VC,stated_elsewhere,1M LiPF6 in EC:EMC (30 %:70 % wt: wt) + 2 wt% VC
v5-3E/1,v5-3E,1,PAPER 07,10.3390/batteries9080423,temperature,141,stated,"for NCM811, were 146 and 141 mAh/g, respectively",NCM811 (regenerated),stated,NCM811,aluminium present (>1%) in the regenerated material; not an intentional modification,stated,"There was also the presence of more than 1% aluminum, which probably got into the precursor during the extraction of the cobalt from the aluminum current collector.",discharge,stated,"the charging and discharging capacities ... for NCM811, were 146 and 141",5,stated,At cycle 5,0.1C,stated_elsewhere,charge–discharge curves at a current rate of 0.1 C ... at the 1st and 5th cycles,2.8–4.3 V,stated_elsewhere,in a voltage range of 2.8–4.3 V,"half cell, Li metal",stated_elsewhere,Lithium metal was used as the anode material,,not_reported,no test temperature anywhere in the paper,TC-E918 (LiPF6 in organic carbonates),stated_elsewhere,"TC-E918 (Tinki), which is a solution of LiPF6 in a mixture of organic carbonates"
v5-2C/1,v5-2C,1,PAPER 02,10.1149/2.1011507jes,temperature;c_rate,180,stated,"After 57 cycles, measured capacities were 149, 166, 180, and 146 mAh/g",NMC811,stated,NMC811/Li coin cells,,not_reported,"no coating, dopant or other modification is named for this sample",discharge,stated,Discharge capacity of NMC811/Li coin cells ... as a function of cycle number,57,stated,After 57 cycles,C/5,stated_elsewhere,The cells were tested at C/20 for 2 cycles and then cycled at C/5 at a constant temperature of 30°C. ... All the cells were tested with a current density of 10 mA/g (∼C/20) for one cycle and 40 mAh/g (∼C/5) at the following cycles.,3.0–4.3 V,stated,"Second discharge capacities of ∼161, 180, 198, and 207 mAh/g at C/20 were measured from 3.0–4.1 V, 4.2 V, 4.3 V and 4.4 V, respectively, whereas the second discharge capacities at C/5 within the same potential ranges were ∼150, 169, 188 and 197 mAh/g respectively. ... After 57 cycles, measured capacities were 149, 166, 180, and 146 mAh/g with corresponding capacity retentions of 99%, 98%, 95% and 74% (comparing to the second discharge at C/5), respectively.","half cell, Li metal",stated,NMC811/Li coin cells,30 °C,stated_elsewhere,cycled at C/5 at a constant temperature of 30°C,1.0 M LiPF6 in EC:DEC 1:2 (v/v),stated_elsewhere,"For all cells, the electrolyte used was 1.0 M LiPF6 in 1:2 v/v EC:DEC"
v5-4B/1,v5-4B,1,PAPER 18,10.3390/batteries8070067,capacity,,not_reported,no capacity after 300 cycles; Table 3 gives retention 78% for CP7_MW3,NMC811 (CP7_MW3),stated,"4 145 120 85 74 64 CP_A 78 199 192 178 165 156 131 90 77 69 CP7_MW3 83 202 194 182 165 144 120 93 85 78 NMC811 [20] 82 196 180 162 150 125 100 87 79 - To evaluate the processes taking place during Li (de)intercalation in NMC811, differen- tial",70:30 mix of CP_A and MW_30m_A,stated,CP7_MW3,retention only,stated,"Capacity Retention, at 1C, % ... after 300 Cycles",300,stated,after 300 charge/discharge cycles,1C,stated,(current density 1C),2.7–4.3 V,stated,within the voltage region of 2.7–4.3 V vs. Li/Li+,"half cell, Li foil",stated_elsewhere,with a lithium foil disc as a counter electrode,room temperature (no number),stated_elsewhere,at room temperature,1 M LiPF6 in EC:PC:DMC 1:1:3 (vol),stated_elsewhere,"Coin-type half-cells (2032 R) were assembled in an Ar-ﬁlled glove box using the electrolyte consisting of 1M LiPF6 (Sigma-Aldrich, 99.99%) solution in ethylene carbonate/propylene carbonate/dimethyl carbonate solution (EC:PC:DMC = 1:1:3 vol. ratio)"
v5-2D/1,v5-2D,1,PAPER 14,10.1155/er/6664420,temperature,178 (approximately),stated,"approximately 218, 207, 199, 190, and 178 mA h g−1",NCM811,stated,P0.3-NCM811 cathode,"PO4(3−) polyanion incorporation, 0.3 mol% (P0.3)",stated,P0.3-NCM811,discharge,stated,delivered discharge capacities of approximately,,not_reported,rate-capability step; no cycle index given,4.0C,stated,"at current rates of 0.2, 0.5, 1.0, 2.0, and 4.0 C",3.0–4.5 V,stated_elsewhere,within a potential range of 3.0–4.5 V (vs. Li/Li+),"half cell, Li metal",stated_elsewhere,CR2032 coin cells ... using Li metal as both the counter and reference electrodes,25 °C,stated_elsewhere,All electrochemical measurements were performed at 25°C,1.0 M LiPF6 in EC/EMC,stated_elsewhere,The electrolyte consisted of 1.0 M LiPF6 dissolved in a mixed sol- vent of ethylene carbonate (EC) and ethyl methyl carbonate (EMC) in a 3:7 volume ratio
